ISO3,FF_NAME,FIX_START,RESULTS
ARS,ARSENAL,ARSENAL,ARSENAL
AVL,ASTON VILLA,ASTON VILLA,ASTON VILLA
BOU,BOURNEMOUTH,A.F.C. BOURNEMOUTH,BOURNEMOUTH
BHA,BRIGHTON,BRIGHTON,BRIGHTON
BUR,BURNLEY,BURNLEY,BURNLEY
CHE,CHELSEA,CHELSEA,CHELSEA
CRY,CRYSTAL PALACE,CRYSTAL PALACE,CRYSTAL PALACE
EVE,EVERTON,EVERTON,EVERTON
LEI,LEICESTER,LEICESTER CITY,LEICESTER
LIV,LIVERPOOL,LIVERPOOL,LIVERPOOL
MCI,MAN CITY,MANCHESTER CITY,MANCHESTER CITY
MUN,MAN UTD,MANCHESTER UNITED,MANCHESTER UNITED
NEW,NEWCASTLE,NEWCASTLE UNITED,NEWCASTLE
NOR,NORWICH,NORWICH CITY,NORWICH
SHU,SHEFFIELD UNITED,SHEFFIELD UNITED,SHEFFIELD UTD
SOU,SOUTHAMPTON,SOUTHAMPTON,SOUTHAMPTON
TOT,SPURS,TOTTENHAM HOTSPUR,TOTTENHAM
WAT,WATFORD,WATFORD,WATFORD
WHU,WEST HAM,WEST HAM UNITED,WEST HAM
WOL,WOLVES,WOLVERHAMPTON,WOLVES
