#,Team,Pl,W,D,L,F,A,GD,Pts
1,LIV,8,8,0,0,20,6,14,24
2,MCI,8,5,1,2,27,9,18,16
3,ARS,8,4,3,1,13,11,2,15
4,LEI,8,4,2,2,14,7,7,14
5,CHE,8,4,2,2,18,14,4,14
6,CRY,8,4,2,2,8,8,0,14
7,BUR,8,3,3,2,11,9,2,12
8,WHU,8,3,3,2,11,11,0,12
9,TOT,8,3,2,3,14,12,2,11
10,BOU,8,3,2,3,13,13,0,11
11,WOLVERHAMPTON WANDERERS,8,2,4,2,11,11,0,10
12,MUN,8,2,3,3,9,8,1,9
13,SHU,8,2,3,3,7,7,0,9
14,BRIGHTON AND HOVE ALBION,8,2,3,3,8,10,-2,9
15,AVL,8,2,2,4,13,12,1,8
16,NEW,8,2,2,4,5,13,-8,8
17,SOU,8,2,1,5,8,15,-7,7
18,EVE,8,2,1,5,6,13,-7,7
19,NOR,8,2,0,6,10,21,-11,6
20,WAT,8,0,3,5,4,20,-16,3
